"URL","MetaDescPresent","MetaMin80Max100","TitlePresent","TitleRegex = [a-zA-zs]+|s[A-Z]+","TitleMin40Max55","H1Present","H1Max1Total","SelfRefCanonical","NoImgsNoAlt","NoImgsAltEmpty"
"https://www.w3schools.com/tags/tryit.asp?filename=tryhtml_image_test","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"https://www.w3schools.com/tags/tryit.asp?filename=tryhtml_meta","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"https://technicalseo.com/crawling-indexing/annotations/link-element-rel-attribute/canonical/","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"http://example.com/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://mcardlesdisease.org/living-with-mcardles-disease/do-i-have-mcardles-disease/diagnosis-of-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE"
"http://mcardlesdisease.org/mcardles-disease-overview-facts/symptoms-of-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE"
"http://mcardlesdisease.org/tag/my-child-gets-tired-running/","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE"
"http://mcardlesdisease.org/mcardles-disease-health-care-resources/experts-on-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE"
"http://mcardlesdisease.org/mcardles-research/mcardles-disease-and-pregnancy/","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE"
"http://mcardlesdisease.org/tag/cant-jog/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"http://mcardlesdisease.org/tag/exercising-with-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE"
"http://mcardlesdisease.org/tag/mcardles-disease-exercise/","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE"
